[P_CODE_MAT]	[P_LENGTH]	[P_WIDTH]	[P_MINQ]	[P_GRAIN]	[P_IDESC]	[P_EDGE_MAT_UP]	[P_EGDE_MAT_LO]	[P_EDGE_MAT_SX]	[P_EDGE_MAT_DX]	[P_IIDESC]	[P_DESC1]
Material	Length	Width	Min Q.	GrainI	Description	Upper strip mat.	Lower strip mat.	Left strip mat.	Right strip mat.	II Description	Description 1
18MM 210*280	722	570	1	3-Material	ACDD6-23-2KPK-Sag Yan	1	1		1	13123443	
18MM 210*280	600	570	1	3-Material	ACDD6-23-2KPK-Alt Tabla	1	1	1	1	13123445	
18MM 210*280	100	564	1	3-Material	ACDD6-23-2KPK-Dikey Kayit 1			1	1	13123448	
18MM 210*280	564	100	1	3-Material	ACDD6-23-2KPK-Yatay Kayit 1	1	1			13123450	
18MM 210*280	564	544	1	3-Material	ACDD6-23-2KPK-Raf 1	1					
18MM 210*280	720	330	1	3-Material	ACDD6 (2 Kapaklı)-24-2 Kapakli-Sol Yan	1			1	13124458	
18MM 210*280	720	330	1	3-Material	ACDD6 (2 Kapaklı)-24-2 Kapakli-Sag Yan	1			1	13124459	
18MM 210*280	574	330	1	3-Material	ACDD6 (2 Kapaklı)-24-2 Kapakli-Ust Tabla	1					
18MM 210*280	574	330	1	3-Material	ACDD6 (2 Kapaklı)-24-2 Kapakli-Alt Tabla	1					
18MM 210*280	574	320	1	3-Material	ACDD6 (2 Kapaklı)-24-2 Kapakli-Raf 1	1					
18MM 210*280	574	320	1	3-Material	ACDD6 (2 Kapaklı)-24-2 Kapakli-Raf 2	1					
18MM 210*280	720	330	1	3-Material	ACDD6 (2 Kapaklı)-25-2 Kapakli-Sol Yan	1			1	13125474	
18MM 210*280	720	330	1	3-Material	ACDD6 (2 Kapaklı)-25-2 Kapakli-Sag Yan	1			1	13125475	
18MM 210*280	564	330	1	3-Material	ACDD6 (2 Kapaklı)-25-2 Kapakli-Ust Tabla	1					
18MM 210*280	564	330	1	3-Material	ACDD6 (2 Kapaklı)-25-2 Kapakli-Alt Tabla	1					
18MM 210*280	564	320	1	3-Material	ACDD6 (2 Kapaklı)-25-2 Kapakli-Raf 1	1					
18MM 210*280	564	320	1	3-Material	ACDD6 (2 Kapaklı)-25-2 Kapakli-Raf 2	1					
18MM 210*280	720	330	1	3-Material	ACDD6 (2 Kapaklı)-26-2 Kapakli-Sol Yan	1			1	13126490	
18MM 210*280	720	330	1	3-Material	ACDD6 (2 Kapaklı)-26-2 Kapakli-Sag Yan	1			1	13126491	
18MM 210*280	564	330	1	3-Material	ACDD6 (2 Kapaklı)-26-2 Kapakli-Ust Tabla	1					
18MM 210*280	564	330	1	3-Material	ACDD6 (2 Kapaklı)-26-2 Kapakli-Alt Tabla	1					
18MM 210*280	564	320	1	3-Material	ACDD6 (2 Kapaklı)-26-2 Kapakli-Raf 1	1					
18MM 210*280	564	320	1	3-Material	ACDD6 (2 Kapaklı)-26-2 Kapakli-Raf 2	1					
18MM 210*280	150	330	1	3-Material	ACDD6-27-4 Davlumbaz-Sol Yan	1			1	13127506	
18MM 210*280	150	330	1	3-Material	ACDD6-27-4 Davlumbaz-Sag Yan	1			1	13127507	
18MM 210*280	574	330	1	3-Material	ACDD6-27-4 Davlumbaz-Ust Tabla	1					
18MM 210*280	574	330	1	3-Material	ACDD6-27-4 Davlumbaz-Alt Tabla	1				13127512	
18MM 210*280	720	330	1	3-Material	ACDD6 (2 Kapaklı)-28-2 Kapakli-Sol Yan	1			1	13128518	
18MM 210*280	720	330	1	3-Material	ACDD6 (2 Kapaklı)-28-2 Kapakli-Sag Yan	1			1	13128519	
18MM 210*280	764	330	1	3-Material	ACDD6 (2 Kapaklı)-28-2 Kapakli-Ust Tabla	1					
18MM 210*280	764	330	1	3-Material	ACDD6 (2 Kapaklı)-28-2 Kapakli-Alt Tabla	1					
18MM 210*280	764	315	1	3-Material	ACDD6 (2 Kapaklı)-28-2 Kapakli-Raf 1	1					
18MM 210*280	2200	650	1	3-Material	ACDD6-29-buzdolap-Sag Yan	1					
18MM 210*280	300	550	1	3-Material	ACDD6-29-buzdolap-Dikey Bolme 1	1			1	13129536	
18MM 210*280	300	550	1	3-Material	ACDD6-29-buzdolap-Dikey Bolme 2	1			1	13129537	
18MM 210*280	828	550	1	3-Material	ACDD6-29-buzdolap-Yatay Bolme 1	1				13129540	
